TRIP DATE,Include,NOTES,CLIENT,PICK UP POINT,DELIVERY AREA,Route,WEIGHT (For Billing),CARGO TYPE,REF#,Trip Report,DM Recorded,Complete Docs?,Outlet Count,"BILLING INVOICE
G MOVERS","BILLING INVOICE
JABEZ",OR #,Total Client,Non-Vat Others,Toll,Parking,Others,Others Reason,Total On Us,Fuel,Parking,Permit,Violation,Violation Reason,Toll RFID,Toll Cash,Others,Others Reason,Total Expenses,Date,Counter,REMARKS,BILLING INVOICE,RATE VAT-EX,GAS STATION,DATE,TIME,LTRS,PER LITER,AMOUNT,FUEL / RATE,SALARIES,TOTAL FUEL,Other Expenses,GI,NET / RATE 45^
45296,,REPAIR TRUCK - INJECTION PUMP & INJECTOR,-,-,-,DRT BALAGTAS BULACAN,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,79,-,-,,-,,,,,,,500,0,0,-500,0
45296,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,80,-,-,,-,,,,,,,0,0,0,0,0
45296,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,81,-,-,,-,,,,,,,0,0,0,0,0
45297,1,-,R,STA ROSA,BAGUIO,LA TRINIDAD BENGUET>GRANVILLE,2T,FROZEN,2807084,45299,45299,YES,1,-,9307,,0,,,,,,3000,3000,,,,,,,,,3000,45297,82,-,9307,,Petron Masinag,45297,0.701388889,51.09,53.30005872,2723.1,0,3030,5723.1,3000,-8753.1,0
45297,,-,R,STA ROSA,NAGA,NAGA>KAREILA,2T,FROZEN,2807087,45301,45301,YES,2,-,9307,,0,,,,,,7000,7000,,,,,,,,,7000,45297,83,-,9307,,-,,,,,,,3180,7000,7000,-10180,0
45297,1,-,T,STA ROSA,GMA,SM Hypermarket Sun Mall - Robinsons Otis - Puregold Quezon Ave - SM Sta Mesa - Aurora Food Corp.,2T,FROZEN,SM Hypermarket Sun Mall - Robinsons Otis - Puregold Quezon Ave - SM Sta Mesa - Aurora Food Corp.,45301,-,-,,357,-,,724,,724,,,,0,,,,,,,,,,724,,84,-,357,6095,Petron Masinag,45297,0.75625,59.42,53.30006732,3167.09,0.519621001,1330,3167.09,0,1597.91,0.26216735
45297,,-,-,-,-,-,,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,85,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,86,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,87,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,88,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,89,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,90,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,91,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,92,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,93,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,94,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,95,-,-,,-,,,,,,,0,0,0,0,0
45297,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,96,-,-,,-,,,,,,,0,0,0,0,0
45298,1,LATE SI ELEVENCIONE,A,GMA,GMA,BAN-VIS-VIS-KATIP,4T,DRY,5722,45301,45303,YES,4,354,-,,0,,,,,,0,,,,,,,,,,0,,97,-,354,5300,Petron Masinag,45298,0.622916667,42.83,53.30002335,2282.84,0.430724528,1430,2282.84,0,1587.16,0.299464151
45298,1,-,A,GMA,CAVITE,IMUS B-LS DASMA-SILANG-NUV,4T,DRY,5720,45301,45303,YES,4,354,-,,0,,,,,,0,,,,,,,,,,0,,98,-,354,7500,Petron Masinag,45298,0.615972222,35.5,53.3,1892.15,0.252286667,1480,1892.15,0,4127.85,0.55038
45298,1,-,A,GMA,GMA,C5-BBW-SCAPE-T3-T3,4T,DRY,5719,45301,45309,YES,4,359,-,,0,,,,,,0,,,,,,,,,,0,,99,-,359,5300,Petron Masinag,45298,18;03,41.46,53.30004824,2209.82,0.41694717,1430,2209.82,0,1660.18,0.313241509
45298,1,-,A,GMA,GMA,CIR-EME-MEGA-PP-GH,2T,FROZEN,9648,45303,45313,YES,4,370,-,,0,,,,,,0,,,,,,,,,,0,,100,-,370,5500,Petron Masinag,45298,0.6375,46.04,53.29995656,2453.93,0.446169091,1280,2453.93,0,1766.07,0.321103636
45298,1,-,A,GMA,GMA,C5-BBW-SCAPE-T3-T3,2T,FROZEN,9644,45301,45303,YES,5,354,-,,0,,,,,,0,,,,,,,,,,0,,101,-,354,5500,Petron Masinag,45298,0.749305556,37.69,53.3000796,2008.88,0.365250909,1280,2008.88,0,2211.12,0.402021818
45298,1,-,A,GMA,LAGUNA,WG-AW-COMM-BIN-NUV,2T,FROZEN,9646,45301,45303,YES,5,354,-,,40,,,40,,,0,,,,,,,,,,40,,102,-,354,7600,Petron Masinag,45298,0.692361111,32.78,53.29469189,1747,0.229868421,1330,1747,0,4523,0.595131579
45298,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,103,-,-,,-,,,,,,,0,0,0,0,0
45298,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,104,-,-,,-,,,,,,,0,0,0,0,0
45298,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,105,-,-,,-,,,,,,,0,0,0,0,0
45298,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,106,-,-,,-,,,,,,,0,0,0,0,0
45298,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,107,-,-,,-,,,,,,,0,0,0,0,0
